role	program	instruction	payer_account	payee_agent	payee_npk	amount	tx	block	note_account
settlement	697746f52ff24019dbde4861c3649f49426904617840139a5405aa24cb5370bf	spend	GpRdooEWJjX4JmRyT2n5KzMnDKtCM2HrvZ8iwMZpe5FS	9XpkkvosC14TKTNZAoUdKXJwCheJ3dF8u3Xoojfv1FaE	c10c15ac4eb5df874a10b8262e3b5db2c2e22ee2f3957d0a630fd2e6f416a55d	1	5942d6cd6d223fd5bc7b5abd3bf34a1c1fc8e540e508232411e60e4d53a03d61	9360	Bs8N2TXEzXG1RX4jopjkNM8t3wB4JQcjX1Ud6ijRNbZb
spend_back	builtin:authenticated_transfer	auth-transfer send	Bs8N2TXEzXG1RX4jopjkNM8t3wB4JQcjX1Ud6ijRNbZb	GpRdooEWJjX4JmRyT2n5KzMnDKtCM2HrvZ8iwMZpe5FS	f5d6cf425dc9e41892263a055c1860fdd9b419a5bcaf8f40a1702eaf18000523	1	e82a81f6076d3fd2e846e77223435658a31c9c9eabcbbf6b2fefa3f1e39f9308	9379	CZ7ieuAt2u7va9xzQsVD6aJvCCYHScoFHV8Ak8Dg7gLb
