what	program	signer	owner_id	agent_id	per_tx	policy_hash	tx	outcome
create_policy naming an owner the signer does not control	b028eabf205b1f05f488d164b3ad2e4c4c333bf01923752c3877ab9cb8c18549	3KcCpbGL9s8H9JwaDGFLL5crPN9nVWLvwfrXL4fZ8pm2	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	7ba31cb85ba5a21fa5f6b3854f28076c75d4982a1b96332afcbb05f34d11a11b	340282366920938463463374607431768211455	5c79d64858a26836fc46238d767685e43399509a96665cb0d48f778d58ea6ff4	c0b21ba6325e451d61408692b4f897ff6e5d22535abeecb671c59a4b1af554c2	accepted, block 8652
the identical call to the fixed program	8c87cc9b2f4ef75cb8061dc3bb1a5bf531b56ce5a75c7b0b781d799f2d20ebbe	EzM7vruEMEk7FoVS6kXGqsMTAjQtA5MgnhwhcdikBw8k	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	7ba31cb85ba5a21fa5f6b3854f28076c75d4982a1b96332afcbb05f34d11a11b	340282366920938463463374607431768211455	5c79d64858a26836fc46238d767685e43399509a96665cb0d48f778d58ea6ff4	30c93c6176ae14eb252d2a5ce9fe9e89b8db830d2ea9ab1bdf79eb0b46d243f8	submitted, never included (error 6012)
