content_address	doc_sha256	account	pubkey	notary_tx
zDvZRwzm4dkWabwQrKNZ8vd51zddz4UEQYrV2ihMYXjQqHDT8XEr	fc4bf6793c25123a7adde58ea0eb823bab16f7ae5b2589fdfca01289017e8faa	EkguBiZaHFtzWiiqDPUtoy979APjMeagpredtGx78ep8	9349b0caf6df62b0b6ca00b30678767c2ab2c594a8a24f4ff14876e8bf154003	11e170e39cff6058639459381c01fe97dfb8b82061dc8dccb982ec47f6aa1005
zDvZRwzm8MLsv9YXNvXwBenUdD29XAjmaPbhBc1htCaDC1qRzRZU	e499478bef655281dcfad62f2ea937c69fada7a79a030d65a50764d91919ef56	DtPFrks5EYAWCcKi631Byu4xkMe72W3FGVwYAbx8hnyz	ce7951a6d0768b1eed1465dfbc54809f416d48253f5bdfd17bde930445f0d904	c770f763aa5d8301619ae389a5b15be4bf3f4814fd4e905d13619e70a9fd676f
zDvZRwzkyQM9as2k7BCtYQAVB2sFAim7YKGnMzWXryvta7urMe7k	be8ecfa20d6d79c2167285384472856ef8add396b308091e5ee4cb00263b0e06	HyTfhnxjT4TN9ddLsxF16gVp64o1Z2CLUgCnFKmArUWW	8dc10bb763a000b90006f6fe6d47fd24e6320793ab8f6595b973974070378259	0274f4e7616ad10d93f1f4b2f645fec31302d85495a29414f2ac346b98c3d68f
