agent	claim_account	owner	claim_tx	block
7b2jzgCjFHoYM3iZbr37eTLeTjPeschjQeQ2JRLARhzz	8fay68cbti1h5o5MhxCfEUaKH6s49KwCDwuFWa7LdVsZ	04a3d8199e532fceb4982df8db85bd7ddac3b4cf8979024cc3c57a3bb64f0bdc	21528f3f74d2921c88a016f2dc32ac8e4b13313f1bd481a839fa559a1c39a3fe	8945
3j8RdFjErxv7cJtgGPrCo8PitV2pkhNTyMfATHmdhPYU	3vqhZhrbUBNHazmTL21jiv1ynLYDzQDedf23kormBFHg	cd3c2c7d6da788f6f9b876e6afd7e7861ab565edd16f456611473c9e3313f862	82fb153160dc36168b389adb5c96cfd761a18fd014b6c4f9ddff1df1dd2ab0c4	10243
5kHYnRZa5niHyh6XYdppieLdFkQZFWiT6jNqcQvg6peV	FTc5C7zy3jwwpox3yVzMde9THUgKBvjTA9dQKfsGUEMD	13fc6f09a83b9686a95e1420cb018398814361f1e36077361331b1e47e8e1ad7	277c39bebb0ddc279de5d5e92c723d9353347eba16c772a740bf42348c76d168	10247
